	type	path	format	name	id	match_type	object
0	Device	windows\device\Group Policy\Any Removable Storage and CD-DVD and WPD Group.xml	gpo	Any Removable Storage and CD-DVD and WPD Group_1	{9b28fae8-72f7-4267-a1a5-685f747a7146}	MatchAny	"	<Group Id=""{9b28fae8-72f7-4267-a1a5-685f747a7146}"" Type=""Device"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7B9b28fae8-72f7-4267-a1a5-685f747a7146%7D/GroupData -->
		<Name>Any Removable Storage and CD-DVD and WPD Group_1</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<PrimaryId>RemovableMediaDevices</PrimaryId>
			<PrimaryId>CdRomDevices</PrimaryId>
			<PrimaryId>WpdDevices</PrimaryId>
		</DescriptorIdList>
	</Group>"
1	Device	windows\device\Group Policy\Approved USBs Group.xml	gpo	Approved USBs Group_1	{65fa649a-a111-4912-9294-fb6337a25038}	MatchAny	"	<Group Id=""{65fa649a-a111-4912-9294-fb6337a25038}"" Type=""Device"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7B65fa649a-a111-4912-9294-fb6337a25038%7D/GroupData -->
		<Name>Approved USBs Group_1</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<InstancePathId>USBSTOR\DISK&amp;VEN__USB&amp;PROD__SANDISK_3.2GEN1&amp;REV_1.00\03003324080520232521&amp;0</InstancePathId>
		</DescriptorIdList>
	</Group>"
2	Device	windows\device\Group Policy\Block Read and Write access to specific file _Groups.xml	gpo	Block Read and Write access to specific file _Groups_1	{9b28fae8-72f7-4267-a1a5-685f747a7146}	MatchAny	"	<Group Id=""{9b28fae8-72f7-4267-a1a5-685f747a7146}"" Type=""Device"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7B9b28fae8-72f7-4267-a1a5-685f747a7146%7D/GroupData -->
		<Name>Block Read and Write access to specific file _Groups_1</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<PrimaryId>RemovableMediaDevices</PrimaryId>
			<PrimaryId>CdRomDevices</PrimaryId>
			<PrimaryId>WpdDevices</PrimaryId>
		</DescriptorIdList>
	</Group>"
3	File	windows\device\Group Policy\Block Read and Write access to specific file _Groups.xml	gpo	Block Read and Write access to specific file _Groups_2	{e5f619a7-5c58-4927-90cd-75da2348a30f}	MatchAny	"	<Group Id=""{e5f619a7-5c58-4927-90cd-75da2348a30f}"" Type=""File"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7Be5f619a7-5c58-4927-90cd-75da2348a30f%7D/GroupData -->
		<Name>Block Read and Write access to specific file _Groups_2</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<PathId>*.exe</PathId>
			<PathId>*.dll</PathId>
		</DescriptorIdList>
	</Group>"
4	Device	windows\device\Group Policy\Demo_2_Groups.xml	gpo	Demo_2_Groups_1	{9b28fae8-72f7-4267-a1a5-685f747a7146}	MatchAny	"	<Group Id=""{9b28fae8-72f7-4267-a1a5-685f747a7146}"" Type=""Device"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7B9b28fae8-72f7-4267-a1a5-685f747a7146%7D/GroupData -->
		<Name>Demo_2_Groups_1</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<PrimaryId>RemovableMediaDevices</PrimaryId>
			<PrimaryId>CdRomDevices</PrimaryId>
			<PrimaryId>WpdDevices</PrimaryId>
		</DescriptorIdList>
	</Group>"
5	Device	windows\device\Group Policy\Demo_2_Groups.xml	gpo	Demo_2_Groups_2	{65fa649a-a111-4912-9294-fb6337a25038}	MatchAny	"	<Group Id=""{65fa649a-a111-4912-9294-fb6337a25038}"" Type=""Device"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7B65fa649a-a111-4912-9294-fb6337a25038%7D/GroupData -->
		<Name>Demo_2_Groups_2</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<InstancePathId>USBSTOR\DISK&amp;VEN__USB&amp;PROD__SANDISK_3.2GEN1&amp;REV_1.00\03003324080520232521&amp;*</InstancePathId>
		</DescriptorIdList>
	</Group>"
6	File	windows\device\Group Policy\Demo_2_Groups.xml	gpo	Demo_2_Groups_3	{e5f619a7-5c58-4927-90cd-75da2348a30f}	MatchAny	"	<Group Id=""{e5f619a7-5c58-4927-90cd-75da2348a30f}"" Type=""File"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7Be5f619a7-5c58-4927-90cd-75da2348a30f%7D/GroupData -->
		<Name>Demo_2_Groups_3</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<PathId>*.exe</PathId>
			<PathId>*.dll</PathId>
		</DescriptorIdList>
	</Group>"
7	Device	windows\device\Group Policy\Demo_Groups.xml	gpo	Demo_Groups_1	{65fa649a-a111-4912-9294-fb6337a25038}	MatchAny	"	<Group Id=""{65fa649a-a111-4912-9294-fb6337a25038}"" Type=""Device"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7B65fa649a-a111-4912-9294-fb6337a25038%7D/GroupData -->
		<Name>Demo_Groups_1</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<InstancePathId>USBSTOR\DISK&amp;VEN__USB&amp;PROD__SANDISK_3.2GEN1&amp;REV_1.00\03003324080520232521&amp;*</InstancePathId>
		</DescriptorIdList>
	</Group>"
8	Device	windows\device\Group Policy\Demo_Groups.xml	gpo	Demo_Groups_2	{9b28fae8-72f7-4267-a1a5-685f747a7146}	MatchAny	"	<Group Id=""{9b28fae8-72f7-4267-a1a5-685f747a7146}"" Type=""Device"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7B9b28fae8-72f7-4267-a1a5-685f747a7146%7D/GroupData -->
		<Name>Demo_Groups_2</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<PrimaryId>RemovableMediaDevices</PrimaryId>
			<PrimaryId>CdRomDevices</PrimaryId>
			<PrimaryId>WpdDevices</PrimaryId>
		</DescriptorIdList>
	</Group>"
9	Device	windows\device\Group Policy\Mass_storage_groups_GPO_2.xml	gpo	Mass_storage_groups_GPO_2_1	{fb4ad01e-f41a-46c6-9ac1-268efa0ea083}	MatchAny	"	<Group Id=""{fb4ad01e-f41a-46c6-9ac1-268efa0ea083}"" Type=""Device"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7Bfb4ad01e-f41a-46c6-9ac1-268efa0ea083%7D/GroupData -->
		<Name>Mass_storage_groups_GPO_2_1</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<PrimaryId>RemovableMediaDevices</PrimaryId>
			<PrimaryId>CdRomDevices</PrimaryId>
			<PrimaryId>WpdDevices</PrimaryId>
			<FriendlyNameId>SDHC*</FriendlyNameId>
			<FriendlyNameId>SDXC*</FriendlyNameId>
			<DeviceId>USBSTOR\CDROM&amp;VEN_KINGSTON&amp;PROD_DTLOCKER+G3</DeviceId>
			<VID_PID>0951_169D</VID_PID>
			<VID_PID>2009_16AF</VID_PID>
			<VID_PID>1908_0226</VID_PID>
		</DescriptorIdList>
	</Group>"
10	Device	windows\device\Group Policy\Mass_storage_groups_GPO_2.xml	gpo	Mass_storage_groups_GPO_2_2	{7f191817-c305-451d-812a-1c4b03ebcec8}	MatchAny	"	<Group Id=""{7f191817-c305-451d-812a-1c4b03ebcec8}"" Type=""Device"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7B7f191817-c305-451d-812a-1c4b03ebcec8%7D/GroupData -->
		<Name>Mass_storage_groups_GPO_2_2</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<VID_PID>07B4_0232</VID_PID>
			<VID_PID>07B4_0279</VID_PID>
			<VID_PID>07B4_0244</VID_PID>
			<VID_PID>07B4_0264</VID_PID>
			<VID_PID>07B4_0236</VID_PID>
			<VID_PID>07B4_0245</VID_PID>
			<VID_PID>0911_1F40</VID_PID>
			<VID_PID>0911_251C</VID_PID>
			<VID_PID>1D54_1072</VID_PID>
			<VID_PID>1D54_1070</VID_PID>
			<VID_PID>1D54_1080</VID_PID>
			<VID_PID>054C_0B6F</VID_PID>
		</DescriptorIdList>
	</Group>"
11	Device	windows\device\Group Policy\Mass_storage_groups_GPO_2.xml	gpo	Mass_storage_groups_GPO_2_3	{1653593b-5b92-47e6-975a-c43ffa9cd28d}	MatchAny	"	<Group Id=""{1653593b-5b92-47e6-975a-c43ffa9cd28d}"" Type=""Device"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7B1653593b-5b92-47e6-975a-c43ffa9cd28d%7D/GroupData -->
		<Name>Mass_storage_groups_GPO_2_3</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<VID_PID>046D_0837</VID_PID>
			<VID_PID>046D_085B</VID_PID>
			<VID_PID>046D_0825</VID_PID>
			<VID_PID>03F0_5705</VID_PID>
			<VID_PID>03F0_5D05</VID_PID>
			<VID_PID>040A_6030</VID_PID>
			<VID_PID>040A_601D</VID_PID>
			<VID_PID>1083_1646</VID_PID>
			<VID_PID>1083_1647</VID_PID>
			<VID_PID>04CA_7053</VID_PID>
			<VID_PID>04CA_7054</VID_PID>
			<VID_PID>04F2_B51C</VID_PID>
			<VID_PID>05C8_0383</VID_PID>
			<VID_PID>05C8_034B</VID_PID>
			<VID_PID>0461_4DFE</VID_PID>
		</DescriptorIdList>
	</Group>"
12	Device	windows\device\Group Policy\Mass_storage_groups_GPO_2.xml	gpo	Mass_storage_groups_GPO_2_4	{d2887bd4-a916-4011-a385-83c6b15df529}	MatchAny	"	<Group Id=""{d2887bd4-a916-4011-a385-83c6b15df529}"" Type=""Device"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7Bd2887bd4-a916-4011-a385-83c6b15df529%7D/GroupData -->
		<Name>Mass_storage_groups_GPO_2_4</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<VID_PID>09CB_1007</VID_PID>
			<VID_PID>0F7E_900C</VID_PID>
		</DescriptorIdList>
	</Group>"
13	Device	windows\device\Group Policy\Scenario 2 GPO Removable Storage Group.xml	gpo	Scenario 2 GPO Removable Storage Group_1	{9b28fae8-72f7-4267-a1a5-685f747a7146}	MatchAny	"	<Group Id=""{9b28fae8-72f7-4267-a1a5-685f747a7146}"" Type=""Device"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7B9b28fae8-72f7-4267-a1a5-685f747a7146%7D/GroupData -->
		<Name>Scenario 2 GPO Removable Storage Group_1</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<PrimaryId>RemovableMediaDevices</PrimaryId>
			<PrimaryId>CdRomDevices</PrimaryId>
		</DescriptorIdList>
	</Group>"
14	Device	windows\device\Group Policy\Scenario 2 GPO Removable Storage Group.xml	gpo	Scenario 2 GPO Removable Storage Group_2	{fa78280d-2d8e-4027-b0bb-62ab5c2bba7f}	MatchAny	"	<Group Id=""{fa78280d-2d8e-4027-b0bb-62ab5c2bba7f}"" Type=""Device"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7Bfa78280d-2d8e-4027-b0bb-62ab5c2bba7f%7D/GroupData -->
		<Name>Scenario 2 GPO Removable Storage Group_2</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<FriendlyNameId>Generic Flash Disk USB Device</FriendlyNameId>
			<VID_PID>0781_</VID_PID>
		</DescriptorIdList>
	</Group>"
15	Device	windows\device\Intune OMA-URI\Any Removable Storage and CD-DVD and WPD Group.xml	oma-uri	Any Removable Storage and CD-DVD and WPD Group_0	{9b28fae8-72f7-4267-a1a5-685f747a7146}	MatchAny	"	<Group Id=""{9b28fae8-72f7-4267-a1a5-685f747a7146}"" Type=""Device"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7B9b28fae8-72f7-4267-a1a5-685f747a7146%7D/GroupData -->
		<Name>Any Removable Storage and CD-DVD and WPD Group_0</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<PrimaryId>RemovableMediaDevices</PrimaryId>
			<PrimaryId>CdRomDevices</PrimaryId>
			<PrimaryId>WpdDevices</PrimaryId>
		</DescriptorIdList>
	</Group>"
16	Device	windows\device\Intune OMA-URI\Approved USBs Group.xml	oma-uri	Approved USBs Group_0	{65fa649a-a111-4912-9294-fb6337a25038}	MatchAny	"	<Group Id=""{65fa649a-a111-4912-9294-fb6337a25038}"" Type=""Device"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7B65fa649a-a111-4912-9294-fb6337a25038%7D/GroupData -->
		<Name>Approved USBs Group_0</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<InstancePathId>USBSTOR\DISK&amp;VEN__USB&amp;PROD__SANDISK_3.2GEN1&amp;REV_1.00\03003324080520232521&amp;*</InstancePathId>
		</DescriptorIdList>
	</Group>"
17	Device	windows\device\Intune OMA-URI\mass_storage_groups_gpo_2_1{fb4ad01e-f41a-46c6-9ac1-268efa0ea083}.xml	oma-uri	Mass_storage_groups_GPO_2_1	{fb4ad01e-f41a-46c6-9ac1-268efa0ea083}	MatchAny	"	<Group Id=""{fb4ad01e-f41a-46c6-9ac1-268efa0ea083}"" Type=""Device"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7Bfb4ad01e-f41a-46c6-9ac1-268efa0ea083%7D/GroupData -->
		<Name>Mass_storage_groups_GPO_2_1</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<PrimaryId>RemovableMediaDevices</PrimaryId>
			<PrimaryId>CdRomDevices</PrimaryId>
			<PrimaryId>WpdDevices</PrimaryId>
			<FriendlyNameId>SDHC*</FriendlyNameId>
			<FriendlyNameId>SDXC*</FriendlyNameId>
			<DeviceId>USBSTOR\CDROM&amp;VEN_KINGSTON&amp;PROD_DTLOCKER+G3</DeviceId>
			<VID_PID>0951_169D</VID_PID>
			<VID_PID>2009_16AF</VID_PID>
			<VID_PID>1908_0226</VID_PID>
		</DescriptorIdList>
	</Group>"
18	Device	windows\device\Intune OMA-URI\mass_storage_groups_gpo_2_2{7f191817-c305-451d-812a-1c4b03ebcec8}.xml	oma-uri	Mass_storage_groups_GPO_2_2	{7f191817-c305-451d-812a-1c4b03ebcec8}	MatchAny	"	<Group Id=""{7f191817-c305-451d-812a-1c4b03ebcec8}"" Type=""Device"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7B7f191817-c305-451d-812a-1c4b03ebcec8%7D/GroupData -->
		<Name>Mass_storage_groups_GPO_2_2</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<VID_PID>07B4_0232</VID_PID>
			<VID_PID>07B4_0279</VID_PID>
			<VID_PID>07B4_0244</VID_PID>
			<VID_PID>07B4_0264</VID_PID>
			<VID_PID>07B4_0236</VID_PID>
			<VID_PID>07B4_0245</VID_PID>
			<VID_PID>0911_1F40</VID_PID>
			<VID_PID>0911_251C</VID_PID>
			<VID_PID>1D54_1072</VID_PID>
			<VID_PID>1D54_1070</VID_PID>
			<VID_PID>1D54_1080</VID_PID>
			<VID_PID>054C_0B6F</VID_PID>
		</DescriptorIdList>
	</Group>"
19	Device	windows\device\Intune OMA-URI\mass_storage_groups_gpo_2_3{1653593b-5b92-47e6-975a-c43ffa9cd28d}.xml	oma-uri	Mass_storage_groups_GPO_2_3	{1653593b-5b92-47e6-975a-c43ffa9cd28d}	MatchAny	"	<Group Id=""{1653593b-5b92-47e6-975a-c43ffa9cd28d}"" Type=""Device"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7B1653593b-5b92-47e6-975a-c43ffa9cd28d%7D/GroupData -->
		<Name>Mass_storage_groups_GPO_2_3</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<VID_PID>046D_0837</VID_PID>
			<VID_PID>046D_085B</VID_PID>
			<VID_PID>046D_0825</VID_PID>
			<VID_PID>03F0_5705</VID_PID>
			<VID_PID>03F0_5D05</VID_PID>
			<VID_PID>040A_6030</VID_PID>
			<VID_PID>040A_601D</VID_PID>
			<VID_PID>1083_1646</VID_PID>
			<VID_PID>1083_1647</VID_PID>
			<VID_PID>04CA_7053</VID_PID>
			<VID_PID>04CA_7054</VID_PID>
			<VID_PID>04F2_B51C</VID_PID>
			<VID_PID>05C8_0383</VID_PID>
			<VID_PID>05C8_034B</VID_PID>
			<VID_PID>0461_4DFE</VID_PID>
		</DescriptorIdList>
	</Group>"
20	Device	windows\device\Intune OMA-URI\mass_storage_groups_gpo_2_4{d2887bd4-a916-4011-a385-83c6b15df529}.xml	oma-uri	Mass_storage_groups_GPO_2_4	{d2887bd4-a916-4011-a385-83c6b15df529}	MatchAny	"	<Group Id=""{d2887bd4-a916-4011-a385-83c6b15df529}"" Type=""Device"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7Bd2887bd4-a916-4011-a385-83c6b15df529%7D/GroupData -->
		<Name>Mass_storage_groups_GPO_2_4</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<VID_PID>09CB_1007</VID_PID>
			<VID_PID>0F7E_900C</VID_PID>
		</DescriptorIdList>
	</Group>"
21	Device	windows\device\Intune OMA-URI\Unapproved USBs Group.xml	oma-uri	Unapproved USBs Group_0	{fa78280d-2d8e-4027-b0bb-62ab5c2bba7f}	MatchAny	"	<Group Id=""{fa78280d-2d8e-4027-b0bb-62ab5c2bba7f}"" Type=""Device"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7Bfa78280d-2d8e-4027-b0bb-62ab5c2bba7f%7D/GroupData -->
		<Name>Unapproved USBs Group_0</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<FriendlyNameId>Generic Flash Disk USB Device</FriendlyNameId>
			<VID_PID>0781_</VID_PID>
		</DescriptorIdList>
	</Group>"
