ruleId,propertyType,propertyValue,type
{b8615f3d-a41e-4c70-a70a-88e7b7aa7768},GroupId,{9b28fae8-72f7-4267-a1a5-685f747a7146},included
{f745aeec-3233-4ca5-961c-2e8b55510784},GroupId,{9b28fae8-72f7-4267-a1a5-685f747a7146},included
{5038638c-9352-47bb-88df-8a659f0c02a7},GroupId,{9b28fae8-72f7-4267-a1a5-685f747a7146},included
{6f3f8bbb-607f-4ed5-96af-51e3428db8f7},GroupId,{65fa649a-a111-4912-9294-fb6337a25038},included
{3984f1f4-7f66-4848-96de-491e2d038b07},GroupId,{9b28fae8-72f7-4267-a1a5-685f747a7146},included
{3984f1f4-7f66-4848-96de-491e2d038b07},GroupId,{65fa649a-a111-4912-9294-fb6337a25038},excluded
{7988d6d0-8854-4cad-98de-e4e22e65e058},GroupId,{9b28fae8-72f7-4267-a1a5-685f747a7146},included
{466faba8-dddf-4ae5-9871-dabbb600d4f3},GroupId,{fb4ad01e-f41a-46c6-9ac1-268efa0ea083},included
{466faba8-dddf-4ae5-9871-dabbb600d4f3},GroupId,{7f191817-c305-451d-812a-1c4b03ebcec8},excluded
{466faba8-dddf-4ae5-9871-dabbb600d4f3},GroupId,{1653593b-5b92-47e6-975a-c43ffa9cd28d},excluded
{466faba8-dddf-4ae5-9871-dabbb600d4f3},GroupId,{d2887bd4-a916-4011-a385-83c6b15df529},excluded
{540efb7f-1836-4956-8888-5d41d981d6ba},GroupId,{7f191817-c305-451d-812a-1c4b03ebcec8},included
{505e2563-1de8-40aa-b8f9-472a37b2f6ee},GroupId,{d2887bd4-a916-4011-a385-83c6b15df529},included
{36ae1037-a639-4cff-946b-b36c53089a4c},GroupId,{65fa649a-a111-4912-9294-fb6337a25038},included
{c544a991-5786-4402-949e-a032cb790d0e},GroupId,{9b28fae8-72f7-4267-a1a5-685f747a7146},included
{c544a991-5786-4402-949e-a032cb790d0e},GroupId,{65fa649a-a111-4912-9294-fb6337a25038},excluded
{23b8e437-66ac-4b32-b3d7-24044637fc98},GroupId,{65fa649a-a111-4912-9294-fb6337a25038},included
{b58ab853-9a6f-405c-a194-740e69422b48},GroupId,{9b28fae8-72f7-4267-a1a5-685f747a7146},included
{b58ab853-9a6f-405c-a194-740e69422b48},GroupId,{65fa649a-a111-4912-9294-fb6337a25038},excluded
{83c390b6-b01e-4d83-8834-c8015a2316f2},GroupId,{9b28fae8-72f7-4267-a1a5-685f747a7146},included
{83c390b6-b01e-4d83-8834-c8015a2316f2},GroupId,{65fa649a-a111-4912-9294-fb6337a25038},excluded
{d2193a7f-ceec-4729-a72a-fe949639db55},GroupId,{9b28fae8-72f7-4267-a1a5-685f747a7146},included
{b11f0734-8029-4c90-aff0-95dfc0354584},GroupId,{9b28fae8-72f7-4267-a1a5-685f747a7146},included
{b2061588-029e-427d-8404-6dfec096a571},GroupId,{65fa649a-a111-4912-9294-fb6337a25038},included
{f7e75634-7eec-4e67-bec5-5e7750cb9e02},GroupId,{9b28fae8-72f7-4267-a1a5-685f747a7146},included
{b8615f3d-a41e-4c70-a70a-88e7b7aa7768},GroupId,{9b28fae8-72f7-4267-a1a5-685f747a7146},included
{b8615f3d-a41e-4c70-a70a-88e7b7aa7768},GroupId,{9b28fae8-72f7-4267-a1a5-685f747a7146},included
{36ae1037-a639-4cff-946b-b36c53089a4c},GroupId,{65fa649a-a111-4912-9294-fb6337a25038},included
{b58ab853-9a6f-405c-a194-740e69422b48},GroupId,{9b28fae8-72f7-4267-a1a5-685f747a7146},included
{b58ab853-9a6f-405c-a194-740e69422b48},GroupId,{65fa649a-a111-4912-9294-fb6337a25038},excluded
{3984f1f4-7f66-4848-96de-491e2d038b07},GroupId,{9b28fae8-72f7-4267-a1a5-685f747a7146},included
{3984f1f4-7f66-4848-96de-491e2d038b07},GroupId,{65fa649a-a111-4912-9294-fb6337a25038},excluded
{6f3f8bbb-607f-4ed5-96af-51e3428db8f7},GroupId,{65fa649a-a111-4912-9294-fb6337a25038},included
{e08f02f2-6649-4b8e-bed0-eced2c7b1a2e},GroupId,{c75f14fb-70ab-49ba-988e-cfe80eb48304},included
{5038638c-9352-47bb-88df-8a659f0c02a7},GroupId,{9b28fae8-72f7-4267-a1a5-685f747a7146},included
{d2193a7f-ceec-4729-a72a-fe949639db55},GroupId,{9b28fae8-72f7-4267-a1a5-685f747a7146},included
{23b8e437-66ac-4b32-b3d7-24044637fc98},GroupId,{65fa649a-a111-4912-9294-fb6337a25038},included
{c544a991-5786-4402-949e-a032cb790d0e},GroupId,{9b28fae8-72f7-4267-a1a5-685f747a7146},included
{c544a991-5786-4402-949e-a032cb790d0e},GroupId,{65fa649a-a111-4912-9294-fb6337a25038},excluded
{83c390b6-b01e-4d83-8834-c8015a2316f2},GroupId,{9b28fae8-72f7-4267-a1a5-685f747a7146},included
{83c390b6-b01e-4d83-8834-c8015a2316f2},GroupId,{65fa649a-a111-4912-9294-fb6337a25038},excluded
{7988d6d0-8854-4cad-98de-e4e22e65e058},GroupId,{9b28fae8-72f7-4267-a1a5-685f747a7146},included
{6f3f8bbb-607f-4ed5-96af-51e3428db8f7},GroupId,{65fa649a-a111-4912-9294-fb6337a25038},included
{3984f1f4-7f66-4848-96de-491e2d038b07},GroupId,{9b28fae8-72f7-4267-a1a5-685f747a7146},included
{3984f1f4-7f66-4848-96de-491e2d038b07},GroupId,{65fa649a-a111-4912-9294-fb6337a25038},excluded
{5038638c-9352-47bb-88df-8a659f0c02a7},GroupId,{9b28fae8-72f7-4267-a1a5-685f747a7146},included
{7988d6d0-8854-4cad-98de-e4e22e65e058},GroupId,{9b28fae8-72f7-4267-a1a5-685f747a7146},included
{505e2563-1de8-40aa-b8f9-472a37b2f6ee},GroupId,{d2887bd4-a916-4011-a385-83c6b15df529},included
{540efb7f-1836-4956-8888-5d41d981d6ba},GroupId,{7f191817-c305-451d-812a-1c4b03ebcec8},included
{466faba8-dddf-4ae5-9871-dabbb600d4f3},GroupId,{fb4ad01e-f41a-46c6-9ac1-268efa0ea083},included
{466faba8-dddf-4ae5-9871-dabbb600d4f3},GroupId,{7f191817-c305-451d-812a-1c4b03ebcec8},excluded
{466faba8-dddf-4ae5-9871-dabbb600d4f3},GroupId,{1653593b-5b92-47e6-975a-c43ffa9cd28d},excluded
{466faba8-dddf-4ae5-9871-dabbb600d4f3},GroupId,{d2887bd4-a916-4011-a385-83c6b15df529},excluded
{36ae1037-a639-4cff-946b-b36c53089a4c},GroupId,{65fa649a-a111-4912-9294-fb6337a25038},included
{c544a991-5786-4402-949e-a032cb790d0e},GroupId,{9b28fae8-72f7-4267-a1a5-685f747a7146},included
{c544a991-5786-4402-949e-a032cb790d0e},GroupId,{65fa649a-a111-4912-9294-fb6337a25038},excluded
{464157c1-2c89-4fe2-b596-ec4919828b2d},GroupId,{9b28fae8-72f7-4267-a1a5-685f747a7146},included
{23b8e437-66ac-4b32-b3d7-24044637fc98},GroupId,{fa78280d-2d8e-4027-b0bb-62ab5c2bba7f},included
{b58ab853-9a6f-405c-a194-740e69422b48},GroupId,{9b28fae8-72f7-4267-a1a5-685f747a7146},included
{b58ab853-9a6f-405c-a194-740e69422b48},GroupId,{fa78280d-2d8e-4027-b0bb-62ab5c2bba7f},excluded
{d2193a7f-ceec-4729-a72a-fe949639db55},GroupId,{9b28fae8-72f7-4267-a1a5-685f747a7146},included
{d2193a7f-ceec-4729-a72a-fe949639db55},GroupId,{9b28fae8-72f7-4267-a1a5-685f747a7146},included
{83c390b6-b01e-4d83-8834-c8015a2316f2},GroupId,{9b28fae8-72f7-4267-a1a5-685f747a7146},included
{83c390b6-b01e-4d83-8834-c8015a2316f2},GroupId,{65fa649a-a111-4912-9294-fb6337a25038},excluded
{b8615f3d-a41e-4c70-a70a-88e7b7aa7768},PrimaryId,WpdDevices,included
{b8615f3d-a41e-4c70-a70a-88e7b7aa7768},DeviceId,USB\VID_04E8&PID_6860&MS_COMP_MTP&SAMSUNG_ANDROID,excluded
{4dd8a057-9c58-4a86-8fc2-0d7989d7ce6c},GroupId,{9b28fae8-72f7-4267-a1a5-685f747a7146},included
{1ac9b9f0-8cae-4c37-bd55-0ac6537d8543},GroupId,{9b28fae8-72f7-4267-a1a5-685f747a7146},included
{d8e6f56c-f4c1-4875-ac45-51ad75d4580e},GroupId,{d8819053-24f4-444a-a0fb-9ce5a9e97862},included
{a054bbcf-3454-4b95-9058-f7ed00deeee9},GroupId,{368a2c82-17be-4137-bffa-370bbdff9672},included
{7beca8fe-313a-46f2-a090-399eb3d74318},GroupId,{d8819053-24f4-444a-a0fb-9ce5a9e97862},included
{7beca8fe-313a-46f2-a090-399eb3d74318},GroupId,{368a2c82-17be-4137-bffa-370bbdff9672},excluded
{a054bbcf-3454-4b95-9058-f7ed00deeee9},GroupId,{368a2c82-17be-4137-bffa-370bbdff9672},included
{b2b9cfc0-799d-457c-babc-da617d9a8b83},GroupId,{23c24566-98a5-4218-8802-59614513b97e},included
{7beca8fe-313a-46f2-a090-399eb3d74318},GroupId,{d8819053-24f4-444a-a0fb-9ce5a9e97862},included
{7beca8fe-313a-46f2-a090-399eb3d74318},GroupId,{368a2c82-17be-4137-bffa-370bbdff9672},excluded
{7beca8fe-313a-46f2-a090-399eb3d74318},GroupId,{23c24566-98a5-4218-8802-59614513b97e},excluded
{a054bbcf-3454-4b95-9058-f7ed00deeee9},GroupId,{368a2c82-17be-4137-bffa-370bbdff9672},included
{b2b9cfc0-799d-457c-babc-da617d9a8b83},GroupId,{23c24566-98a5-4218-8802-59614513b97e},included
{7beca8fe-313a-46f2-a090-399eb3d74318},GroupId,{d8819053-24f4-444a-a0fb-9ce5a9e97862},included
{7beca8fe-313a-46f2-a090-399eb3d74318},GroupId,{368a2c82-17be-4137-bffa-370bbdff9672},excluded
{7beca8fe-313a-46f2-a090-399eb3d74318},GroupId,{23c24566-98a5-4218-8802-59614513b97e},excluded
{a054bbcf-3454-4b95-9058-f7ed00deeee9},GroupId,{368a2c82-17be-4137-bffa-370bbdff9672},included
{b2b9cfc0-799d-457c-babc-da617d9a8b83},GroupId,{23c24566-98a5-4218-8802-59614513b97e},included
{7beca8fe-313a-46f2-a090-399eb3d74318},GroupId,{d8819053-24f4-444a-a0fb-9ce5a9e97862},included
{7beca8fe-313a-46f2-a090-399eb3d74318},GroupId,{368a2c82-17be-4137-bffa-370bbdff9672},excluded
{7beca8fe-313a-46f2-a090-399eb3d74318},GroupId,{23c24566-98a5-4218-8802-59614513b97e},excluded
{d8e6f56c-f4c1-4875-ac45-51ad75d4580e},GroupId,{d8819053-24f4-444a-a0fb-9ce5a9e97862},included
{7beca8fe-313a-46f2-a090-399eb3d74318},GroupId,{d8819053-24f4-444a-a0fb-9ce5a9e97862},included
{7beca8fe-313a-46f2-a090-399eb3d74318},GroupId,{368a2c82-17be-4137-bffa-370bbdff9672},excluded
{a054bbcf-3454-4b95-9058-f7ed00deeee9},GroupId,{368a2c82-17be-4137-bffa-370bbdff9672},included
{7beca8fe-313a-46f2-a090-399eb3d74318},GroupId,{d8819053-24f4-444a-a0fb-9ce5a9e97862},included
{7beca8fe-313a-46f2-a090-399eb3d74318},GroupId,{368a2c82-17be-4137-bffa-370bbdff9672},excluded
{7beca8fe-313a-46f2-a090-399eb3d74318},GroupId,{23c24566-98a5-4218-8802-59614513b97e},excluded
{a054bbcf-3454-4b95-9058-f7ed00deeee9},GroupId,{368a2c82-17be-4137-bffa-370bbdff9672},included
{b2b9cfc0-799d-457c-babc-da617d9a8b83},GroupId,{23c24566-98a5-4218-8802-59614513b97e},included
{7beca8fe-313a-46f2-a090-399eb3d74318},GroupId,{d8819053-24f4-444a-a0fb-9ce5a9e97862},included
{7beca8fe-313a-46f2-a090-399eb3d74318},GroupId,{368a2c82-17be-4137-bffa-370bbdff9672},excluded
{7beca8fe-313a-46f2-a090-399eb3d74318},GroupId,{23c24566-98a5-4218-8802-59614513b97e},excluded
{a054bbcf-3454-4b95-9058-f7ed00deeee9},GroupId,{368a2c82-17be-4137-bffa-370bbdff9672},included
{b2b9cfc0-799d-457c-babc-da617d9a8b83},GroupId,{23c24566-98a5-4218-8802-59614513b97e},included
{7beca8fe-313a-46f2-a090-399eb3d74318},GroupId,{d8819053-24f4-444a-a0fb-9ce5a9e97862},included
{7beca8fe-313a-46f2-a090-399eb3d74318},GroupId,{368a2c82-17be-4137-bffa-370bbdff9672},excluded
{7beca8fe-313a-46f2-a090-399eb3d74318},GroupId,{23c24566-98a5-4218-8802-59614513b97e},excluded
{a054bbcf-3454-4b95-9058-f7ed00deeee9},GroupId,{368a2c82-17be-4137-bffa-370bbdff9672},included
{b2b9cfc0-799d-457c-babc-da617d9a8b83},GroupId,{23c24566-98a5-4218-8802-59614513b97e},included
{b4bf3ecb-cea9-450d-a3fa-fec9a73edc08},GroupId,{257e3e1e-790c-4e29-ae2c-45a5f3363201},included
{47420f70-ef17-467e-a982-ab4c3abde16e},GroupId,{090b8e1d-5c7b-4f69-a4f2-fb76fa0535fc},included
{47420f70-ef17-467e-a982-ab4c3abde16e},GroupId,{257e3e1e-790c-4e29-ae2c-45a5f3363201},excluded
{f5877f47-78ab-4f33-94e4-c44f18ec6dca},GroupId,{e5170dfb-19a9-4466-8109-d36c9c912b4e},included
{f7e75634-7eec-4e67-bec5-5e7750cb9e02},GroupId,{05b56e90-e682-48ff-a6c0-5602c9638182},included
{e6ccf2cb-20d6-4478-bf2d-66f247ced6f3},GroupId,{090b8e1d-5c7b-4f69-a4f2-fb76fa0535fc},included
{e6ccf2cb-20d6-4478-bf2d-66f247ced6f3},GroupId,{e5170dfb-19a9-4466-8109-d36c9c912b4e},excluded
{e6ccf2cb-20d6-4478-bf2d-66f247ced6f3},GroupId,{05b56e90-e682-48ff-a6c0-5602c9638182},excluded
{f5877f47-78ab-4f33-94e4-c44f18ec6dca},GroupId,{e5170dfb-19a9-4466-8109-d36c9c912b4e},included
{f7e75634-7eec-4e67-bec5-5e7750cb9e02},GroupId,{05b56e90-e682-48ff-a6c0-5602c9638182},included
{f5877f47-78ab-4f33-94e4-c44f18ec6dca},GroupId,{70dfbe51-19a9-8109-4466-912b4ed36c9c},included
{2f746a4d-4ae1-4bc0-aaef-136d12518fd4},GroupId,{090b8e1d-5c7b-4f69-a4f2-fb76fa0535fc},included
{f7e75634-7eec-4e67-bec5-5e7750cb9e02},GroupId,{05b56e90-e682-48ff-a6c0-5602c9638182},included
{07fb98fd-f25b-4aec-bb99-69d4abd4ec4d},GroupId,{e5170dfb-19a9-4466-8109-d36c9c912b4e},included
{f5877f47-78ab-4f33-94e4-c44f18ec6dca},GroupId,{e5170dfb-19a9-4466-8109-d36c9c912b4e},included
{f7e75634-7eec-4e67-bec5-5e7750cb9e02},GroupId,{05b56e90-e682-48ff-a6c0-5602c9638182},included
{f5877f47-78ab-4f33-94e4-c44f18ec6dca},GroupId,{e5170dfb-19a9-4466-8109-d36c9c912b4e},included
{b4bf3ecb-cea9-450d-a3fa-fec9a73edc08},GroupId,{257e3e1e-790c-4e29-ae2c-45a5f3363201},included
{e6ccf2cb-20d6-4478-bf2d-66f247ced6f3},GroupId,{090b8e1d-5c7b-4f69-a4f2-fb76fa0535fc},included
{e6ccf2cb-20d6-4478-bf2d-66f247ced6f3},GroupId,{e5170dfb-19a9-4466-8109-d36c9c912b4e},excluded
{e6ccf2cb-20d6-4478-bf2d-66f247ced6f3},GroupId,{05b56e90-e682-48ff-a6c0-5602c9638182},excluded
{2751c448-6e6b-4c2c-81c1-c8ae02911bd5},GroupId,{090b8e1d-5c7b-4f69-a4f2-fb76fa0535fc},included
{e6ccf2cb-20d6-4478-bf2d-66f247ced6f3},GroupId,{090b8e1d-5c7b-4f69-a4f2-fb76fa0535fc},included
{e6ccf2cb-20d6-4478-bf2d-66f247ced6f3},GroupId,{e5170dfb-19a9-4466-8109-d36c9c912b4e},excluded
{e6ccf2cb-20d6-4478-bf2d-66f247ced6f3},GroupId,{05b56e90-e682-48ff-a6c0-5602c9638182},excluded
{47420f70-ef17-467e-a982-ab4c3abde16e},GroupId,{090b8e1d-5c7b-4f69-a4f2-fb76fa0535fc},included
{47420f70-ef17-467e-a982-ab4c3abde16e},GroupId,{257e3e1e-790c-4e29-ae2c-45a5f3363201},excluded
{f7e75634-7eec-4e67-bec5-5e7750cb9e02},GroupId,{05b56e90-e682-48ff-a6c0-5602c9638182},included
f745aeec-3233-4ca5-961c-2e8b55510784,groupId,9b28fae8-72f7-4267-a1a5-685f747a7146,included
f7e75634-7eec-4e67-bec5-5e7750cb9e02,groupId,9b28fae8-72f7-4267-a1a5-685f747a7146,included
36ae1037-a639-4cff-946b-b36c53089a4c,groupId,65fa649a-a111-4912-9294-fb6337a25038,included
c544a991-5786-4402-949e-a032cb790d0e,groupId,9b28fae8-72f7-4267-a1a5-685f747a7146,included
c544a991-5786-4402-949e-a032cb790d0e,groupId,65fa649a-a111-4912-9294-fb6337a25038,excluded
772cef80-229f-48b4-bd17-a6913009298e,groupId,3f082cd3-f701-4c21-9a6a-ed115c28e217,included
2e18a6b9-eb30-440a-a6aa-1f930b443baf,groupId,94b5df10-bd2f-4b19-8a9f-539520b9d6ff,included
2275E5E3-44D4-429E-A8BF-F73B390CBF46,groupId,3778B4FD-A98B-4374-9EFE-859B98446E7D,included
772cef80-229f-48b4-bd17-a6913009248d,groupId,3f082cd3-f701-4c21-9a6a-ed115c28e417,included
772cef80-229f-48b4-bd17-a6913009248d,groupId,1A783D32-C6A3-4F5F-9D47-271B12130DFD,excluded
3C094B7B-DB94-4F17-86B8-3AA1D6547C58,groupId,1A783D32-C6A3-4F5F-9D47-271B12130DFD,included
69a4a010-acb1-4573-8a58-50cf4ee7bc7f,groupId,519a2e50-3bb7-49b7-9ae0-6feb415d58ca,included
772cef80-229f-48b4-bd17-a6913009249d,groupId,3f082cd3-f701-4c21-9a6a-ed115c28e41D,included
772cef80-229f-48b4-bd17-a69130092981,groupId,3f082cd3-f701-4c21-9a6a-ed115c28e211,included
350C4528-DE48-4E73-9298-0C9823CA1064,groupId,3778B4FD-A98B-4374-9EFE-859B98446E7D,included
D861EEB3-9201-45F4-AC63-F823D4957D59,groupId,3D2A9EF0-E587-4B90-A60F-C9BD6F9D2BB4,included
772cef80-229f-48b4-bd17-a69130092981,groupId,3f082cd3-f701-4c21-9a6a-ed115c28e211,included
772cef80-229f-48b4-bd17-a69130092981,groupId,3f082cd3-f701-4c21-9a6a-ed115c28e212,excluded
